Runtime,Threads,InputSize
6615100,10,2500
7173300,9,2500
8026100,8,2500
6428100,7,2500
6994400,6,2500
7922700,5,2500
5424900,4,2500
6726300,3,2500
7654100,2,2500
9040900,1,2500
4375400,10,225
6073600,9,225
4886400,8,225
6145700,7,225
4779200,6,225
4133800,5,225
4153900,4,225
4285600,3,225
6147400,2,225
5062900,1,225
5194600,10,900
5875600,9,900
5083300,8,900
5287400,7,900
5649600,6,900
4493600,5,900
4874400,4,900
6068800,3,900
6500400,2,900
7317100,1,900
4893300,10,121
4075000,9,121
4406400,8,121
4383300,7,121
4503500,6,121
4939700,5,121
4818000,4,121
4430400,3,121
4884400,2,121
4627400,1,121
